Datum,DAX50ESGneu,HDAXneu,DAX39ESG,HDAX73
01.06.07,1000,1000,1000,1000
04.06.07,999.9446018,999.2016092,999.9446018,999.3316008
05.06.07,997.0357826,996.749399,997.0357826,996.9653694
06.06.07,972.8431217,974.1550094,972.8431217,974.4942866
07.06.07,958.1625051,957.4271451,958.1625051,957.7687283
08.06.07,951.6841087,955.4072767,951.6841087,955.8051011
11.06.07,969.0879052,970.0902214,969.0879052,970.3292859
12.06.07,961.6590909,963.2699005,961.6590909,963.5184331
13.06.07,962.1406387,965.0159396,962.1406387,965.2808631
14.06.07,982.2632561,983.540664,982.2632561,983.6946784
15.06.07,1000.709592,1001.166247,1000.709592,1001.47982
18.06.07,999.3560674,1000.384557,999.3560674,1000.87707
19.06.07,999.5231844,1000.616221,999.5231844,1001.021376
20.06.07,1005.496464,1004.806921,1005.496464,1005.414898
21.06.07,991.2624331,990.4739321,991.2624331,990.8771911
22.06.07,990.2988578,990.2178586,990.2988578,990.8341959
25.06.07,986.1216694,985.5565675,986.1216694,986.1423462
26.06.07,976.6440006,977.7688171,976.6440006,978.2831201
27.06.07,966.482966,970.0629155,966.482966,970.1684217
28.06.07,981.7225806,984.7946679,981.7225806,985.1159726
29.06.07,990.5695979,992.6656002,990.5695979,992.9499527
02.07.07,985.5827434,989.841138,985.5827434,989.6410262
03.07.07,996.2529364,1001.577835,996.2529364,1001.503338
04.07.07,1001.390137,1006.444312,1001.390137,1006.415348
05.07.07,992.4657426,995.4290837,992.4657426,995.2113702
06.07.07,1000.841441,1003.34656,1000.841441,1002.88946
09.07.07,1003.565313,1007.05658,1003.565313,1006.283116
10.07.07,988.818249,995.188548,988.818249,994.6049765
11.07.07,981.6411874,987.6488723,981.6411874,987.3224375
12.07.07,995.6727321,1000.584778,995.6727321,1000.183705
13.07.07,997.6335653,1003.957795,997.6335653,1003.498843
16.07.07,999.7221428,1004.925316,999.7221428,1004.481918
17.07.07,991.8455199,996.6298088,991.8455199,996.1184501
18.07.07,975.7668679,982.2878324,975.7668679,981.8635401
19.07.07,985.6395746,992.4818139,985.6395746,991.7706555
20.07.07,973.7982165,980.9177325,973.7982165,980.1608035
23.07.07,979.641851,988.55576,979.641851,987.8585581
24.07.07,963.8518376,974.0852986,963.8518376,973.1391317
25.07.07,951.6182043,961.3773105,951.6182043,960.6425647
26.07.07,924.8867371,935.1192866,924.8867371,934.0114791
27.07.07,918.914511,929.7354918,918.914511,928.9264836
30.07.07,918.9363013,929.603789,918.9363013,928.762303
31.07.07,935.841498,948.8245156,935.841498,948.1355351
01.08.07,918.8913797,933.0873398,918.8913797,932.3462261
02.08.07,922.0141971,937.2611007,922.0141971,936.6197775
03.08.07,908.1412416,928.4561127,908.1412416,927.5307856
06.08.07,905.5835168,922.7119165,905.5835168,922.1192974
07.08.07,913.0910953,928.2114167,913.0910953,927.9734425
08.08.07,927.7944331,940.7725091,927.7944331,940.4024922
09.08.07,907.0445981,919.6247382,907.0445981,919.0689026
10.08.07,890.3855569,902.5509973,890.3855569,902.2765276
13.08.07,905.8752064,916.3820449,905.8752064,916.6848986
14.08.07,900.3823697,910.9071154,900.3823697,911.3368172
15.08.07,898.329035,908.8946367,898.329035,909.4671443
16.08.07,870.8673669,881.2355524,870.8673669,882.362761
17.08.07,881.6827989,888.6963212,881.6827989,889.7918948
20.08.07,888.7634529,897.4559603,888.7634529,898.0360926
21.08.07,891.1961083,898.6071761,891.1961083,899.1123976
22.08.07,901.9842123,911.1527538,901.9842123,911.1380023
23.08.07,903.6023406,914.8647964,903.6023406,914.3071769
24.08.07,903.4453424,915.469526,903.4453424,913.9057169
27.08.07,903.4337164,915.8156309,903.4337164,913.9561155
28.08.07,894.2872637,905.6190292,894.2872637,904.0766982
29.08.07,894.8137259,906.5494532,894.8137259,904.562
30.08.07,905.7697719,917.5627043,905.7697719,915.4113201
31.08.07,918.4094245,932.4940336,918.4094245,930.4098534
03.09.07,922.7028846,937.5139104,922.7028846,935.678577
04.09.07,932.5665543,946.2939598,932.5665543,944.2938276
05.09.07,917.3510571,931.5036882,917.3510571,929.2914875
06.09.07,917.9879293,931.3867876,917.9879293,929.289479
07.09.07,894.7521468,910.2603925,894.7521468,908.4400234
10.09.07,881.7711252,898.8760751,881.7711252,897.2346908
11.09.07,893.7081159,910.8770053,893.7081159,908.9614542
12.09.07,894.9053827,913.983192,894.9053827,912.4865713
13.09.07,900.5466813,916.6035033,900.5466813,915.2214032
14.09.07,892.0917335,910.1839911,892.0917335,909.0209843
17.09.07,887.0847367,901.4055736,887.0847367,900.1715138
18.09.07,900.1852765,913.8749796,900.1852765,912.549441
19.09.07,925.7954726,935.8903802,925.7954726,934.8089807
20.09.07,923.2454779,930.8803868,923.2454779,929.7721651
21.09.07,936.4583503,942.4105657,936.4583503,941.4549991
24.09.07,933.6941471,939.2889792,933.6941471,938.0566958
25.09.07,926.0501316,931.751694,926.0501316,930.5593908
26.09.07,931.4301672,938.0269077,931.4301672,936.839728
27.09.07,938.3915936,942.8854773,938.3915936,941.6082498
28.09.07,937.0391868,943.5779859,937.0391868,941.7910904
01.10.07,943.1492374,950.6355097,943.1492374,948.901345
02.10.07,952.5912048,958.5087635,952.5912048,956.8217593
03.10.07,956.591646,963.0683929,956.591646,961.3075543
04.10.07,954.2160029,963.8487723,954.2160029,962.2826418
05.10.07,960.4257683,972.932129,960.4257683,971.2831444
08.10.07,958.2115107,972.2873829,958.2115107,970.6724068
09.10.07,962.1618013,977.0570703,962.1618013,975.3646302
10.10.07,963.4239737,978.3705817,963.4239737,976.629194
11.10.07,968.0384584,986.9178643,968.0384584,985.4703504
12.10.07,970.2950354,989.4803689,970.2950354,988.1090794
15.10.07,964.1808182,983.6576566,964.1808182,981.9241911
16.10.07,955.6741321,975.2089098,955.6741321,973.5334685
17.10.07,961.9255104,980.3975638,961.9255104,978.4715657
18.10.07,951.4637004,971.2512518,951.4637004,969.6523156
19.10.07,945.5285072,964.9783365,945.5285072,963.4724018
22.10.07,931.2875359,949.81031,931.2875359,948.4482254
23.10.07,941.280857,961.0122891,941.280857,959.4332572
